this	Refers to the function's execution context
function	Defines a function expression
[]	Array initializer/literal syntax.
{}	Object initializer/literal syntax.
/ab+c/i	Regular expression literal syntax.
( )	Grouping operator.
Property accessors	"<div>Member operators provide access to a property or method of an object</div><div>(object.property and object[""property""]).</div>"
new	Creates an instance of a constructor.
A++	Postfix increment operator.
A--	Postfix decrement operator.
++A	Prefix increment operator.
--A	Prefix decrement operator.
delete	The delete operator deletes a property from an object.
void	The void operator discards an expression's return value.
typeof	The typeof operator determines the type of a given object.
+	The unary plus operator converts its operand to Number type.
-	<div>The unary negation operator converts its operand to Number type and then negates it.</div>
"<span style=""font-family: Arial"">~</span>"	<div>Bitwise NOT operator.</div>
!	Logical NOT operator.
in	The in operator determines whether an object has a given property.
instanceof	The instanceof operator determines whether an object is an instance of another object.
Block	Used to group zero or more statements. The block is delimited by a pair of curly brackets.
break	Terminates the current loop, switch, or label statement and transfers program control to the statement following the terminated statement.
continue	Terminates execution of the statements in the current iteration of the current or labeled loop, and continues execution of the loop with the next iteration.
Empty	An empty statement is used to provide no statement, although the JavaScript syntax would expect one.
if...else	Executes a statement if a specified condition is true. If the condition is false, another statement can be executed.
switch	Evaluates an expression, matching the expression's value to a case clause, and executes statements associated with that case.
throw	Throws a user-defined exception.
try...catch	Marks a block of statements to try, and specifies a response, should an exception be thrown.
var	Declares a variable, optionally initializing it to a value.
do...while	Creates a loop that executes a specified statement until the test condition evaluates to false. The condition is evaluated after executing the statement, resulting in the specified statement executing at least once.
for	Creates a loop that consists of three optional expressions, enclosed in parentheses and separated by semicolons, followed by a statement executed in the loop.
for...in	Iterates over the enumerable properties of an object, in arbitrary order. For each distinct property, statements can be executed.
while	Creates a loop that executes a specified statement as long as the test condition evaluates to true. The condition is evaluated before executing the statement.
Infinity	The global Infinity property is a numeric value representing infinity.
"<span style=""font-family: Arial"">Representing Not-A-Number.</span>"	NaN
This&nbsp;value property represents the value undefined.	undefined
"JavaScript literal representing null or an ""empty"" value, i.e. no object value is present."	null
Evaluates JavaScript code represented as a string.	eval()
